danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.758,0.908,2,-1.497,0,0.0352,0.257,0,0.0759,0.88,124.982
0.536,0.882,9,-5.832,0,0.548,0.695,0.686,0.0633,0.491,200.032
0.429,0.364,7,-10.006,1,0.0547,0.455,0,0.0907,0.0857,173.63
0.442,0.349,0,-10.676,1,0.0307,0.847,1.36e-06,0.136,0.365,135.978
0.422,0.292,0,-10.722,1,0.0302,0.896,0,0.15,0.244,138.143
0.446,0.383,10,-8.88,1,0.0294,0.739,0,0.0968,0.259,159.91
0.435,0.297,0,-9.322,1,0.0277,0.572,0,0.0792,0.228,137.993
0.475,0.306,0,-10.393,1,0.0317,0.507,0,0.103,0.0866,73.028
0.766,0.783,0,-4.292,1,0.0305,0.622,0,0.0942,0.683,91.996
0.459,0.426,10,-8.929,1,0.0397,0.746,0,0.112,0.466,169.875
0.646,0.713,0,-6.192,1,0.0609,0.53,0,0.114,0.222,94.984
0.565,0.295,0,-9.065,1,0.0276,0.789,0,0.144,0.256,121.897
0.767,0.818,6,-5.52,1,0.104,0.153,0,0.161,0.448,125.908
0.72,0.639,10,-7.891,1,0.0325,0.673,0,0.0943,0.698,111.99
0.665,0.49,8,-8.416,1,0.0558,0.83,0,0.108,0.763,95.922
0.505,0.187,7,-12.079,1,0.0497,0.812,0,0.115,0.287,115.862
0.762,0.356,0,-15.763,1,0.361,0.873,1e-05,0.187,0.571,80.946
0.45,0.395,3,-7.867,1,0.0366,0.615,2.77e-06,0.122,0.114,119.587
0.632,0.579,11,-8.352,1,0.0602,0.187,1.93e-06,0.101,0.503,155.984
0.659,0.216,7,-16.081,1,0.0303,0.455,4.64e-06,0.092,0.174,94.004
0.638,0.355,11,-7.637,1,0.0882,0.8,0,0.11,0.815,145.148
0.322,0.396,3,-11.531,1,0.0358,0.281,0,0.103,0.176,119.07
0.908,0.773,4,-7.402,0,0.0634,0.0693,0.197,0.0673,0.895,128.004
0.721,0.316,5,-16.045,1,0.242,0.788,0.0968,0.083,0.0931,171.992
0.736,0.588,7,-7.408,1,0.0396,0.783,0.000172,0.108,0.431,107.976
0.587,0.306,5,-10.622,0,0.0296,0.721,0.011,0.241,0.608,126.872
0.748,0.474,7,-11.228,0,0.0354,0.206,9.43e-05,0.0832,0.446,124.976
0.724,0.668,6,-4.035,0,0.058,0.555,1.57e-06,0.194,0.427,135.046
0.716,0.549,0,-5.086,0,0.0304,0.507,1.56e-06,0.164,0.556,100.01
0.768,0.318,5,-11.193,1,0.0355,0.8,0.00268,0.14,0.259,114.973
0.733,0.432,7,-9.624,1,0.0292,0.495,0,0.193,0.673,95.988
0.67,0.618,9,-5.467,0,0.0377,0.128,0,0.0534,0.251,147.015
0.542,0.536,1,-7.222,1,0.0309,0.682,2.81e-05,0.105,0.535,129.872
0.729,0.494,7,-8.318,0,0.0284,0.675,2.08e-05,0.187,0.143,95.04
0.532,0.553,8,-6.215,0,0.0648,0.501,0,0.0962,0.361,189.17
0.572,0.513,9,-6.078,0,0.0358,0.148,1.41e-06,0.0597,0.528,116.397
0.875,0.782,5,-3.905,0,0.078,0.151,0,0.113,0.906,108.038
0.874,0.787,10,-2.416,0,0.129,0.118,0,0.11,0.896,108.007
0.828,0.61,1,-4.23,1,0.0528,0.00544,0,0.158,0.311,126.011
0.775,0.865,1,-2.015,1,0.307,0.0453,0,0.261,0.663,175.12
0.855,0.58,5,-6.951,1,0.141,0.234,0,0.0965,0.518,96.998
0.808,0.831,6,-3.648,0,0.323,0.0449,0,0.0917,0.838,98.099
0.469,0.819,3,-3.469,0,0.306,0.0592,0,0.178,0.334,89.013
0.697,0.777,9,-5.041,0,0.209,0.0564,0,0.339,0.821,165.035
0.748,0.753,9,-4.603,1,0.116,0.0162,0,0.185,0.748,109.496
0.629,0.886,0,-2.105,0,0.303,0.0177,0,0.296,0.83,141.036
0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31e-06,0.151,0.19,84.828
0.789,0.572,9,-6.227,1,0.0566,0.0155,2.06e-05,0.0955,0.561,112.01
0.751,0.642,3,-5.165,0,0.087,0.0861,0,0.0953,0.388,95.045
0.748,0.672,9,-5.682,1,0.057,0.00487,6.71e-06,0.242,0.536,111.939
0.396,0.483,8,-10.487,1,0.221,0.781,5.94e-05,0.111,0.0709,157.625
0.572,0.672,2,-5.553,0,0.0296,0.0381,2.96e-06,0.514,0.285,99.21
0.847,0.551,3,-7.132,0,0.142,0.06,4.37e-06,0.162,0.515,95.036
0.523,0.506,7,-8.436,0,0.0371,0.234,0,0.105,0.246,139.975
0.595,0.458,8,-8.627,1,0.0266,0.00786,0.875,0.14,0.192,87.521
0.644,0.872,6,-1.54,0,0.0417,0.164,0,0.363,0.378,131.016
0.744,0.747,11,-4.281,0,0.0824,0.00691,2.03e-06,0.0739,0.368,120.077
0.757,0.898,11,-1.247,0,0.0667,0.0138,0,0.0703,0.842,114.949
0.727,0.879,9,-1.167,1,0.129,0.124,1.17e-05,0.244,0.671,146.959
0.82,0.852,11,-2.567,0,0.166,0.488,5.94e-06,0.0907,0.82,109.036
0.612,0.912,2,-2.853,1,0.0796,0.064,0.000799,0.0843,0.472,90.006
0.586,0.816,7,-6.331,1,0.283,0.0911,2.81e-06,0.235,0.265,119.8
0.782,0.767,0,-5.383,1,0.0529,0.11,0.00323,0.496,0.548,115.027
0.75,0.718,2,-2.817,0,0.0468,0.0814,1.75e-05,0.322,0.592,90.027
0.7,0.753,11,-3.841,0,0.0441,0.0539,1.72e-05,0.072,0.146,97.998
0.547,0.42,7,-10.729,1,0.279,0.886,0.000735,0.11,0.547,173.98
0.686,0.656,5,-6.375,0,0.0562,0.612,5.45e-06,0.394,0.65,138.059
0.66,0.523,3,-9.901,1,0.0476,0.714,1.11e-05,0.357,0.641,90.947
0.372,0.335,9,-6.663,1,0.0286,0.869,0,0.114,0.387,179.56
0.581,0.559,5,-10.413,1,0.0428,0.626,0.000172,0.093,0.257,76.987
0.421,0.568,5,-5.462,1,0.0588,0.758,0.00016,0.257,0.384,200.049
0.516,0.254,9,-10.353,1,0.0329,0.858,7.44e-06,0.158,0.255,112.812
0.613,0.5,10,-8.349,1,0.0277,0.547,0.000181,0.327,0.342,99.998
0.504,0.46,1,-10.211,0,0.196,0.871,0,0.376,0.355,175.478
0.619,0.427,2,-7.142,0,0.0563,0.801,1.88e-06,0.368,0.284,139.757
0.548,0.611,5,-8.065,0,0.0837,0.266,0,0.174,0.401,79.837
0.762,0.295,7,-9.745,1,0.035,0.954,0.00157,0.164,0.284,129.962
0.808,0.41,2,-10.981,0,0.105,0.816,0,0.102,0.361,110.079
0.786,0.358,5,-10.913,1,0.0379,0.875,0.000361,0.0718,0.204,120.0
0.707,0.563,5,-9.683,1,0.1,0.842,1.72e-05,0.124,0.382,167.989
0.779,0.407,0,-11.293,1,0.0598,0.861,2.85e-06,0.102,0.729,140.028
0.782,0.497,5,-6.495,1,0.0404,0.818,0,0.112,0.507,113.996
0.641,0.574,7,-10.018,1,0.0637,0.757,0,0.355,0.506,169.972
0.626,0.476,8,-9.921,0,0.0639,0.445,1.48e-06,0.11,0.341,100.136
0.719,0.423,2,-11.338,1,0.101,0.872,0.00281,0.14,0.353,117.012
0.855,0.546,11,-7.492,0,0.0324,0.751,0.0111,0.104,0.463,107.983
0.698,0.587,6,-4.318,0,0.0569,0.717,1.5e-06,0.192,0.569,88.006
0.618,0.442,5,-7.737,1,0.0299,0.828,8.62e-05,0.108,0.402,118.005
0.673,0.376,11,-7.886,0,0.0357,0.915,8.32e-05,0.0973,0.414,104.997
0.737,0.707,2,-3.318,0,0.0386,0.277,0.305,0.0881,0.196,114.972
0.671,0.549,11,-6.142,0,0.0263,0.834,0,0.156,0.563,104.074
0.543,0.26,5,-8.939,1,0.0264,0.882,2.63e-06,0.167,0.338,77.987
0.774,0.578,5,-6.227,0,0.0306,0.552,0.000434,0.0985,0.397,110.018
0.756,0.579,9,-6.216,0,0.0328,0.508,0,0.0266,0.538,116.976
0.815,0.645,5,-6.334,0,0.0509,0.107,0.00579,0.0953,0.684,118.023
0.536,0.341,8,-8.988,1,0.0337,0.863,0.00134,0.152,0.343,129.921
0.775,0.748,0,-5.049,1,0.0545,0.216,6.8e-05,0.126,0.288,124.922
